Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
1847.164	-0.003	-0.005	0.057	0.033
1847.227	-0.003	-0.005	0.057	0.033
1847.289	-0.003	0.007	0.049	0.033
1847.352	-0.003	-0.005	0.049	0.041
1847.414	-0.003	-0.005	0.057	0.033
1847.477	-0.003	0.007	0.041	0.033
1847.539	0.003	-0.005	0.049	0.033
1847.602	-0.003	-0.005	0.057	0.033
1847.664	0.003	-0.005	0.066	0.033
1847.727	-0.003	-0.005	0.041	0.033
1847.790	-0.009	0.001	0.041	0.049
1847.852	-0.003	-0.005	0.057	0.033
1847.915	0.003	0.001	0.041	0.033
1847.977	0.003	-0.005	0.057	0.041
1848.040	-0.003	-0.005	0.057	0.033
1848.102	-0.003	-0.005	0.041	0.041
1848.165	0.003	0.001	0.049	0.033
1848.227	-0.003	0.007	0.033	0.041
1848.290	0.009	0.001	0.049	0.033
1848.352	-0.003	0.001	0.025	0.041
1848.415	0.003	-0.005	0.057	0.033
1848.478	0.003	0.001	0.041	0.041
1848.540	-0.009	-0.005	0.049	0.033
1848.603	-0.003	0.001	0.033	0.033
1848.665	0.003	-0.005	0.049	0.033
1848.728	0.009	-0.005	0.049	0.033
1848.790	0.003	-0.005	0.049	0.033
1848.853	0.003	-0.005	0.049	0.033
1848.915	0.003	0.001	0.033	0.033
1848.978	-0.003	-0.005	0.049	0.041
1849.041	-0.009	-0.005	0.033	0.033
1849.103	0.003	0.007	0.049	0.033
1849.166	-0.003	0.001	0.057	0.033
1849.228	-0.003	0.001	0.049	0.025
1849.291	-0.003	0.001	0.049	0.041
1849.353	-0.003	-0.005	0.049	0.033
1849.416	-0.003	0.001	0.057	0.041
1849.478	-0.003	0.001	0.041	0.057
1849.541	0.003	0.001	0.057	0.033
1849.603	0.003	-0.005	0.033	0.049
1849.666	0.003	-0.005	0.049	0.033
1849.729	-0.003	-0.005	0.041	0.041
1849.791	0.003	0.007	0.049	0.033
1849.854	-0.009	-0.005	0.041	0.033
1849.916	-0.003	0.001	0.049	0.041
1849.979	-0.009	0.001	0.066	0.033
1850.041	-0.003	0.001	0.049	0.033
1850.104	-0.003	0.001	0.033	0.049
1850.166	-0.009	0.001	0.033	0.033
1850.229	0.003	0.001	0.049	0.033
1850.292	0.003	0.001	0.049	0.041
1850.354	-0.003	-0.005	0.041	0.041
1850.417	0.003	-0.005	0.049	0.041
1850.479	-0.003	0.007	0.049	0.041
1850.542	-0.003	-0.005	0.074	0.041
1850.604	0.003	-0.005	0.049	0.041
1850.667	0.003	0.001	0.049	0.025
1850.729	0.003	0.001	0.057	0.049
1850.792	0.003	-0.005	0.049	0.033
1850.854	0.003	0.001	0.041	0.033
1850.917	-0.003	0.001	0.041	0.025
1850.980	-0.009	-0.005	0.066	0.033
1851.042	-0.003	-0.005	0.041	0.041
1851.105	0.003	-0.005	0.033	0.033
1851.167	0.003	-0.011	0.041	0.033
1851.230	0.003	-0.011	0.041	0.033
1851.292	0.003	-0.005	0.057	0.033
1851.355	-0.009	-0.011	0.049	0.033
1851.417	-0.003	-0.011	0.057	0.033
1851.480	-0.009	-0.005	0.049	0.041
1851.543	-0.003	0.001	0.049	0.033
1851.605	0.003	0.001	0.041	0.041
1851.668	-0.003	-0.005	0.049	0.025
1851.730	0.003	-0.005	0.049	0.049
1851.793	-0.003	-0.005	0.049	0.041
1851.855	-0.009	-0.017	0.057	0.049
1851.918	0.009	-0.005	0.049	0.025
1851.980	0.003	0.001	0.057	0.033
1852.043	-0.003	0.001	0.057	0.041
1852.105	0.009	0.007	0.049	0.041
1852.168	0.003	0.001	0.057	0.033
1852.231	-0.003	0.007	0.041	0.033
1852.293	-0.003	-0.005	0.033	0.033
1852.356	-0.003	0.001	0.033	0.025
1852.418	0.003	0.007	0.049	0.049
1852.481	0.003	0.001	0.033	0.025
1852.543	0.003	-0.005	0.041	0.041
1852.606	0.003	-0.005	0.057	0.033
1852.668	-0.003	-0.005	0.049	0.041
1852.731	-0.003	0.001	0.057	0.041
1852.794	0.003	-0.005	0.049	0.041
1852.856	-0.003	-0.005	0.049	0.033
1852.919	0.003	0.001	0.057	0.033
1852.981	-0.003	-0.005	0.049	0.033
1853.044	-0.003	-0.005	0.057	0.049
1853.106	-0.009	-0.011	0.033	0.049
1853.169	-0.003	-0.005	0.033	0.033
1853.231	-0.003	-0.011	0.041	0.041
1853.294	0.003	0.001	0.057	0.033
1853.356	0.003	-0.005	0.041	0.033
1853.419	-0.003	-0.005	0.049	0.041
1853.482	-0.003	-0.005	0.041	0.041
1853.544	0.003	0.007	0.049	0.033
1853.607	0.003	-0.005	0.049	0.025
1853.669	-0.003	-0.005	0.041	0.049
1853.732	-0.003	-0.005	0.057	0.049
1853.794	-0.003	-0.005	0.057	0.041
1853.857	0.003	-0.005	0.057	0.033
1853.919	0.009	0.001	0.049	0.033
1853.982	0.009	0.001	0.049	0.025
1854.045	-0.003	-0.005	0.049	0.033
1854.107	-0.003	-0.005	0.049	0.041
1854.170	0.003	0.007	0.049	0.041
1854.232	-0.003	0.001	0.041	0.033
1854.295	-0.003	0.001	0.033	0.041
1854.357	0.003	-0.005	0.049	0.041
1854.420	0.003	-0.005	0.057	0.049
1854.482	-0.009	-0.005	0.057	0.041
1854.545	0.003	-0.005	0.049	0.049
1854.607	-0.003	-0.005	0.041	0.033
1854.670	0.003	0.001	0.057	0.033
1854.733	-0.003	0.001	0.049	0.041
1854.795	0.003	-0.005	0.049	0.041
1854.858	-0.003	0.007	0.049	0.033
1854.920	0.003	-0.005	0.041	0.041
1854.983	0.003	0.001	0.041	0.041
1855.045	0.003	0.001	0.057	0.033
1855.108	-0.009	-0.011	0.041	0.033
1855.170	-0.003	0.001	0.041	0.049
1855.233	0.003	0.001	0.057	0.041
1855.296	0.003	0.001	0.049	0.033
1855.358	0.015	0.001	0.049	0.041
1855.421	0.003	0.001	0.033	0.041
1855.483	-0.003	-0.011	0.057	0.033
1855.546	0.003	0.001	0.049	0.041
1855.608	0.009	-0.005	0.033	0.049
1855.671	-0.003	-0.011	0.057	0.041
1855.733	-0.003	-0.005	0.057	0.041
1855.796	0.003	0.001	0.049	0.041
1855.858	0.009	0.007	0.057	0.041
1855.921	-0.003	0.001	0.066	0.041
1855.984	-0.009	-0.005	0.041	0.041
1856.046	-0.003	0.001	0.049	0.041
1856.109	0.003	-0.005	0.057	0.049
1856.171	0.003	0.001	0.041	0.041
1856.234	0.003	0.007	0.049	0.041
1856.296	-0.003	0.007	0.041	0.041
1856.359	-0.003	0.001	0.041	0.033
1856.421	-0.003	0.001	0.033	0.033
1856.484	-0.003	-0.005	0.041	0.041
1856.547	-0.009	-0.005	0.041	0.033
1856.609	0.003	-0.005	0.049	0.025
1856.672	0.003	-0.005	0.049	0.033
1856.734	-0.003	-0.005	0.057	0.033
1856.797	-0.003	-0.005	0.041	0.033
1856.859	0.003	-0.005	0.041	0.041
1856.922	-0.003	-0.011	0.041	0.041
1856.984	0.003	0.001	0.041	0.033
1857.047	-0.003	0.001	0.033	0.033
1857.109	-0.003	-0.005	0.033	0.033
1857.172	-0.003	-0.005	0.049	0.033
1857.235	-0.003	-0.011	0.049	0.033
1857.297	0.003	-0.005	0.041	0.033
1857.360	0.003	0.001	0.049	0.041
1857.422	-0.003	0.001	0.049	0.033
1857.485	-0.003	-0.005	0.025	0.025
1857.547	-0.003	-0.005	0.057	0.041
1857.610	-0.003	-0.005	0.066	0.025
1857.672	-0.009	-0.005	0.041	0.041
1857.735	0.003	0.001	0.033	0.041
1857.798	0.009	-0.005	0.049	0.041
1857.860	0.003	0.001	0.041	0.041
1857.923	-0.003	0.001	0.049	0.041
1857.985	-0.003	-0.005	0.049	0.033
1858.048	-0.003	-0.005	0.049	0.025
1858.110	0.003	-0.005	0.049	0.041
1858.173	0.003	0.001	0.049	0.025
1858.235	0.003	-0.011	0.033	0.033
1858.298	-0.003	-0.005	0.041	0.041
1858.360	0.003	-0.005	0.066	0.041
1858.423	0.003	0.001	0.057	0.025
1858.486	-0.003	-0.005	0.041	0.041
1858.548	0.003	-0.005	0.033	0.041
1858.611	-0.003	-0.005	0.049	0.041
1858.673	-0.003	0.001	0.057	0.049
1858.736	-0.009	0.001	0.057	0.041
1858.798	0.003	0.001	0.033	0.033
1858.861	0.009	-0.005	0.033	0.033
1858.923	0.009	0.001	0.049	0.033
1858.986	-0.003	0.001	0.049	0.033
1859.049	-0.003	-0.011	0.049	0.041
1859.111	0.003	-0.005	0.066	0.049
1859.174	0.003	0.001	0.057	0.041
1859.236	0.003	0.001	0.049	0.025
1859.299	-0.003	-0.005	0.066	0.041
1859.361	-0.009	0.001	0.033	0.041
1859.424	0.009	0.001	0.041	0.033
1859.486	0.003	-0.005	0.041	0.025
1859.549	-0.003	-0.005	0.057	0.041
1859.611	-0.003	0.001	0.057	0.033
1859.674	-0.003	-0.005	0.057	0.041
1859.737	0.003	0.007	0.041	0.033
1859.799	-0.003	-0.005	0.049	0.033
1859.862	0.003	-0.005	0.041	0.033
1859.924	0.003	-0.005	0.049	0.033
1859.987	-0.003	0.001	0.049	0.033
1860.049	-0.009	0.001	0.049	0.033
1860.112	-0.003	-0.005	0.057	0.041
1860.174	-0.003	-0.005	0.041	0.049
1860.237	0.003	-0.005	0.041	0.041
1860.300	0.009	0.001	0.049	0.033
1860.362	-0.003	-0.005	0.041	0.033
1860.425	-0.003	0.001	0.025	0.041
1860.487	-0.003	0.001	0.049	0.049
1860.550	-0.003	0.001	0.033	0.033
1860.612	-0.009	0.001	0.041	0.033
1860.675	0.003	0.001	0.057	0.041
1860.737	-0.003	0.001	0.057	0.033
1860.800	-0.003	-0.005	0.041	0.049
1860.862	-0.003	0.001	0.041	0.041
1860.925	0.003	0.001	0.057	0.033
1860.988	-0.003	0.001	0.066	0.033
1861.050	-0.009	-0.005	0.041	0.033
1861.113	-0.003	0.001	0.041	0.033
1861.175	0.003	0.001	0.057	0.033
1861.238	-0.003	-0.005	0.049	0.033
1861.300	-0.003	-0.005	0.057	0.025
1861.363	0.003	0.007	0.057	0.033
1861.425	0.009	0.007	0.049	0.049
1861.488	0.009	0.001	0.041	0.033
1861.551	-0.003	0.007	0.041	0.033
1861.613	-0.009	0.001	0.057	0.033
1861.676	-0.003	0.001	0.057	0.033
1861.738	0.003	0.001	0.049	0.033
1861.801	-0.003	0.001	0.049	0.041
1861.863	0.003	-0.005	0.033	0.041
1861.926	-0.003	0.001	0.057	0.033
1861.988	-0.003	0.001	0.033	0.041
1862.051	0.003	0.001	0.041	0.033
1862.113	0.003	0.001	0.049	0.041
1862.176	-0.003	0.001	0.057	0.033
1862.239	-0.009	-0.005	0.041	0.025
1862.301	-0.003	0.007	0.041	0.033
1862.364	0.003	-0.005	0.041	0.033
