Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
9.382	-0.003	-0.005	0.041	0.025
9.445	0.003	0.001	0.057	0.041
9.508	0.003	-0.005	0.049	0.033
9.570	0.003	0.001	0.049	0.041
9.633	-0.003	-0.005	0.066	0.033
9.695	0.009	0.001	0.041	0.033
9.758	-0.003	0.001	0.049	0.033
9.820	0.003	0.001	0.049	0.041
9.883	0.003	0.001	0.049	0.033
9.945	-0.003	0.001	0.041	0.033
10.008	0.003	0.007	0.041	0.033
10.071	0.003	-0.005	0.033	0.025
10.133	0.003	0.001	0.041	0.041
10.196	0.003	0.001	0.041	0.049
10.258	0.003	0.007	0.049	0.033
10.321	0.003	0.001	0.057	0.033
10.383	-0.003	-0.011	0.049	0.025
10.446	0.009	-0.005	0.049	0.033
10.508	0.003	0.001	0.041	0.033
10.571	0.009	0.001	0.049	0.041
10.633	0.003	0.001	0.057	0.041
10.696	0.003	0.001	0.041	0.033
10.759	0.003	0.001	0.033	0.033
10.821	0.003	-0.005	0.041	0.033
10.884	-0.003	-0.005	0.057	0.033
10.946	0.003	-0.005	0.041	0.025
11.009	0.003	-0.005	0.025	0.033
11.071	-0.003	0.007	0.057	0.033
11.134	0.003	0.001	0.057	0.033
11.196	0.003	0.001	0.066	0.041
11.259	-0.003	0.001	0.049	0.049
11.322	0.009	-0.005	0.049	0.041
11.384	0.009	0.001	0.033	0.025
11.447	0.003	-0.011	0.041	0.033
11.509	-0.003	-0.005	0.057	0.025
11.572	0.003	0.007	0.041	0.033
11.634	-0.003	-0.005	0.057	0.049
11.697	-0.009	0.001	0.041	0.025
11.759	-0.003	0.001	0.049	0.033
11.822	-0.003	-0.005	0.049	0.033
11.884	-0.003	-0.005	0.057	0.033
11.947	0.003	-0.005	0.057	0.033
12.010	-0.003	-0.005	0.057	0.033
12.072	0.003	0.001	0.049	0.033
12.135	0.003	0.001	0.041	0.033
12.197	0.003	-0.005	0.041	0.033
12.260	-0.003	0.007	0.049	0.025
12.322	0.003	0.001	0.041	0.033
12.385	0.003	0.001	0.049	0.049
12.447	0.003	0.001	0.041	0.033
12.510	0.003	0.001	0.066	0.041
12.573	0.003	0.001	0.057	0.033
12.635	0.009	-0.005	0.049	0.041
12.698	0.003	-0.005	0.033	0.033
12.760	-0.003	0.001	0.049	0.033
12.823	0.003	-0.005	0.041	0.033
12.885	0.009	0.001	0.033	0.033
12.948	0.003	0.001	0.066	0.033
13.010	0.003	-0.005	0.066	0.025
13.073	-0.009	0.001	0.049	0.049
13.135	-0.003	-0.005	0.041	0.041
13.198	0.003	0.007	0.057	0.033
13.261	0.003	0.007	0.049	0.049
13.323	0.003	-0.005	0.049	0.025
13.386	0.003	-0.005	0.049	0.033
13.448	-0.003	0.001	0.049	0.033
13.511	0.003	0.007	0.041	0.033
13.573	-0.009	-0.005	0.041	0.033
13.636	-0.003	0.001	0.057	0.033
13.698	0.003	0.001	0.057	0.049
13.761	-0.009	0.001	0.049	0.033
13.824	-0.003	0.001	0.041	0.041
13.886	-0.003	0.001	0.049	0.033
13.949	0.003	0.001	0.057	0.041
14.011	0.003	-0.005	0.049	0.033
14.074	0.003	-0.005	0.041	0.033
14.136	-0.003	-0.005	0.049	0.033
14.199	-0.003	-0.005	0.057	0.033
14.261	0.003	0.001	0.057	0.041
14.324	0.003	-0.005	0.041	0.041
14.386	0.003	0.007	0.049	0.041
14.449	0.009	-0.005	0.049	0.025
14.512	0.003	0.007	0.041	0.041
14.574	-0.003	0.001	0.041	0.033
14.637	-0.003	-0.005	0.033	0.041
14.699	0.009	-0.011	0.057	0.033
14.762	0.003	-0.005	0.057	0.025
14.824	-0.009	0.001	0.066	0.033
14.887	-0.003	0.001	0.049	0.033
14.949	0.009	-0.005	0.041	0.033
15.012	0.003	-0.005	0.041	0.033
15.075	-0.009	0.001	0.049	0.033
15.137	0.009	0.001	0.041	0.033
15.200	0.003	0.007	0.049	0.049
15.262	-0.003	0.007	0.049	0.041
15.325	-0.003	0.001	0.041	0.033
15.387	-0.003	-0.005	0.041	0.033
15.450	-0.003	-0.005	0.033	0.033
