Time (ms)	Ch1 V	Ch2 V	Ch3 V	Ch1 A	Ch2 A	Ch3 A
0.247	1.559	9.790	-13.802	-0.180	0.434	-0.156
0.250	1.571	9.790	-13.796	-0.205	0.434	-0.147
0.252	1.583	9.784	-13.808	-0.188	0.426	-0.147
0.255	1.595	9.778	-13.814	-0.197	0.434	-0.147
0.257	1.613	9.760	-13.808	-0.197	0.442	-0.156
0.260	1.626	9.772	-13.820	-0.205	0.434	-0.156
0.262	1.644	9.766	-13.814	-0.197	0.426	-0.147
0.265	1.662	9.772	-13.820	-0.197	0.434	-0.156
0.267	1.668	9.760	-13.827	-0.188	0.434	-0.147
0.269	1.680	9.747	-13.833	-0.180	0.434	-0.147
0.272	1.699	9.747	-13.827	-0.205	0.434	-0.172
0.274	1.717	9.735	-13.839	-0.205	0.434	-0.156
0.277	1.723	9.741	-13.839	-0.197	0.434	-0.147
0.279	1.735	9.729	-13.833	-0.188	0.434	-0.156
0.282	1.760	9.723	-13.833	-0.197	0.426	-0.164
0.284	1.772	9.723	-13.851	-0.205	0.434	-0.156
0.287	1.778	9.717	-13.845	-0.197	0.426	-0.156
0.289	1.802	9.711	-13.839	-0.188	0.434	-0.164
0.292	1.814	9.705	-13.851	-0.180	0.434	-0.147
0.294	1.820	9.711	-13.845	-0.205	0.426	-0.147
0.296	1.845	9.699	-13.857	-0.188	0.434	-0.164
0.299	1.863	9.686	-13.863	-0.188	0.442	-0.156
0.301	1.875	9.686	-13.863	-0.180	0.426	-0.147
0.304	1.881	9.693	-13.863	-0.205	0.442	-0.147
0.306	1.900	9.686	-13.875	-0.197	0.434	-0.164
0.309	1.918	9.674	-13.869	-0.205	0.434	-0.156
0.311	1.924	9.674	-13.869	-0.205	0.418	-0.156
0.314	1.942	9.668	-13.875	-0.197	0.434	-0.164
0.316	1.954	9.662	-13.881	-0.197	0.451	-0.164
0.318	1.967	9.656	-13.881	-0.197	0.434	-0.164
0.321	1.985	9.644	-13.881	-0.205	0.434	-0.156
0.323	2.003	9.644	-13.893	-0.197	0.426	-0.172
0.326	2.009	9.638	-13.887	-0.172	0.434	-0.164
0.328	2.021	9.638	-13.893	-0.188	0.426	-0.172
0.331	2.046	9.638	-13.887	-0.188	0.434	-0.164
0.333	2.058	9.626	-13.900	-0.188	0.426	-0.164
0.336	2.076	9.620	-13.912	-0.205	0.426	-0.164
0.338	2.082	9.626	-13.900	-0.197	0.434	-0.164
0.341	2.094	9.607	-13.900	-0.205	0.434	-0.156
0.343	2.119	9.601	-13.912	-0.197	0.426	-0.164
0.345	2.125	9.595	-13.918	-0.180	0.434	-0.164
0.348	2.143	9.601	-13.918	-0.188	0.434	-0.164
0.350	2.149	9.601	-13.918	-0.197	0.426	-0.172
0.353	2.174	9.601	-13.924	-0.188	0.434	-0.164
0.355	2.186	9.583	-13.918	-0.188	0.426	-0.164
0.358	2.198	9.583	-13.924	-0.164	0.426	-0.172
0.360	2.204	9.577	-13.936	-0.180	0.442	-0.164
0.363	2.222	9.571	-13.930	-0.188	0.434	-0.172
0.365	2.228	9.571	-13.936	-0.172	0.434	-0.172
0.367	2.240	9.571	-13.930	-0.188	0.426	-0.164
0.370	2.259	9.571	-13.942	-0.180	0.426	-0.172
0.372	2.277	9.546	-13.936	-0.188	0.442	-0.164
0.375	2.289	9.559	-13.942	-0.188	0.434	-0.156
0.377	2.301	9.553	-13.942	-0.197	0.434	-0.172
0.380	2.320	9.546	-13.942	-0.180	0.442	-0.164
0.382	2.326	9.540	-13.942	-0.188	0.442	-0.164
0.385	2.344	9.540	-13.936	-0.180	0.442	-0.164
0.387	2.362	9.540	-13.942	-0.172	0.434	-0.172
0.390	2.368	9.528	-13.948	-0.188	0.434	-0.180
0.392	2.374	9.528	-13.954	-0.188	0.434	-0.164
0.394	2.387	9.528	-13.954	-0.180	0.434	-0.164
0.397	2.399	9.510	-13.960	-0.180	0.434	-0.164
0.399	2.411	9.516	-13.967	-0.188	0.442	-0.172
0.402	2.417	9.510	-13.967	-0.172	0.434	-0.156
0.404	2.435	9.504	-13.967	-0.180	0.434	-0.164
0.407	2.460	9.504	-13.960	-0.180	0.442	-0.180
0.409	2.472	9.492	-13.967	-0.164	0.434	-0.180
0.412	2.484	9.492	-13.973	-0.172	0.426	-0.164
0.414	2.490	9.492	-13.967	-0.180	0.434	-0.180
0.416	2.496	9.486	-13.967	-0.172	0.434	-0.172
0.419	2.514	9.486	-13.973	-0.188	0.426	-0.180
0.421	2.527	9.479	-13.979	-0.164	0.434	-0.180
0.424	2.545	9.467	-13.985	-0.172	0.451	-0.172
0.426	2.563	9.461	-13.985	-0.172	0.442	-0.180
0.429	2.575	9.467	-13.979	-0.180	0.434	-0.188
0.431	2.588	9.455	-13.979	-0.180	0.442	-0.172
0.434	2.600	9.455	-13.985	-0.180	0.434	-0.172
0.436	2.618	9.449	-13.991	-0.180	0.434	-0.172
0.439	2.630	9.449	-13.985	-0.180	0.426	-0.180
0.441	2.642	9.437	-13.991	-0.180	0.442	-0.180
0.443	2.661	9.431	-13.991	-0.172	0.426	-0.180
0.446	2.673	9.431	-13.997	-0.180	0.442	-0.188
0.448	2.679	9.425	-13.997	-0.180	0.451	-0.172
